State	County	Year	Est. Population
Washington	Balance of King County	2014	251228
Washington	Balance of King County	2015	254068
Washington	Kitsap County	2010	251133
Washington	Kitsap County	2011	251723
Washington	Kitsap County	2012	254458
Washington	Kitsap County	2013	254764
Washington	Kitsap County	2014	253325
Washington	Kitsap County	2015	254525
Washington	Balance of Kitsap County	2010	168831
Washington	Balance of Kitsap County	2011	169224
Washington	Balance of Kitsap County	2012	170125
Washington	Balance of Kitsap County	2013	170162
Washington	Balance of Kitsap County	2014	169334
Washington	Balance of Kitsap County	2015	169565
Washington	Kittitas County	2010	40909
Washington	Kittitas County	2011	41014
Washington	Kittitas County	2012	41578
Washington	Kittitas County	2013	41622
Washington	Kittitas County	2014	41892
Washington	Kittitas County	2015	42661
Washington	Balance of Kittitas County	2010	17981
Washington	Balance of Kittitas County	2011	18039
Washington	Balance of Kittitas County	2012	18339
Washington	Balance of Kittitas County	2013	18547
Washington	Balance of Kittitas County	2014	18709
Washington	Balance of Kittitas County	2015	19012
Washington	Klickitat County	2010	20318
Washington	Klickitat County	2011	20390
Washington	Klickitat County	2012	20695
Washington	Klickitat County	2013	20643
Washington	Klickitat County	2014	20855
Washington	Klickitat County	2015	20883
Washington	Balance of Klickitat County	2010	13961
Washington	Balance of Klickitat County	2011	14018
Washington	Balance of Klickitat County	2012	14252
Washington	Balance of Klickitat County	2013	14220
Washington	Balance of Klickitat County	2014	14377
Washington	Balance of Klickitat County	2015	14415
Washington	Lewis County	2010	75455
Washington	Lewis County	2011	75516
Washington	Lewis County	2012	75701
Washington	Lewis County	2013	75591
Washington	Lewis County	2014	75178
Washington	Lewis County	2015	75224
Washington	Balance of Lewis County	2010	44682
Washington	Balance of Lewis County	2011	44700
Washington	Balance of Lewis County	2012	44710
Washington	Balance of Lewis County	2013	44623
Washington	Balance of Lewis County	2014	44355
Washington	Balance of Lewis County	2015	44388
Washington	Lincoln County	2010	10570
Washington	Lincoln County	2011	10570
Washington	Lincoln County	2012	10518
Washington	Lincoln County	2013	10442
Washington	Lincoln County	2014	10281
Washington	Lincoln County	2015	10253
Washington	Balance of Lincoln County	2010	5086
Washington	Balance of Lincoln County	2011	5093
Washington	Balance of Lincoln County	2012	5095
Washington	Balance of Lincoln County	2013	5068
Washington	Balance of Lincoln County	2014	5004
Washington	Balance of Lincoln County	2015	5015
Washington	Mason County	2010	60699
Washington	Mason County	2011	60752
Washington	Mason County	2012	60917
Washington	Mason County	2013	60772
Washington	Mason County	2014	60550
Washington	Mason County	2015	60694
Washington	Balance of Mason County	2010	50850
Washington	Balance of Mason County	2011	50898
Washington	Balance of Mason County	2012	51064
Washington	Balance of Mason County	2013	50972
Washington	Balance of Mason County	2014	50807
Washington	Balance of Mason County	2015	50919
Washington	Okanogan County	2010	41120
Washington	Okanogan County	2011	41246
Washington	Okanogan County	2012	41358
Washington	Okanogan County	2013	41270
Washington	Okanogan County	2014	41168
Washington	Okanogan County	2015	41347
Washington	Balance of Okanogan County	2010	24733
Washington	Balance of Okanogan County	2011	24819
Washington	Balance of Okanogan County	2012	24941
Washington	Balance of Okanogan County	2013	24924
Washington	Balance of Okanogan County	2014	24890
Washington	Balance of Okanogan County	2015	24984
Washington	Pacific County	2010	20920
Washington	Pacific County	2011	20884
Washington	Pacific County	2012	20853
Washington	Pacific County	2013	20549
Washington	Pacific County	2014	20424
Washington	Pacific County	2015	20551
Washington	Balance of Pacific County	2010	14082
Washington	Balance of Pacific County	2011	14060
Washington	Balance of Pacific County	2012	14070
Washington	Balance of Pacific County	2013	13869
Washington	Balance of Pacific County	2014	13828
Washington	Balance of Pacific County	2015	13924
Washington	Pend Oreille County	2010	13001
Washington	Pend Oreille County	2011	12963
Washington	Pend Oreille County	2012	12937
Washington	Pend Oreille County	2013	12985
Washington	Pend Oreille County	2014	12891
Washington	Pend Oreille County	2015	12941
Washington	Balance of Pend Oreille County	2010	9789
Washington	Balance of Pend Oreille County	2011	9764
Washington	Balance of Pend Oreille County	2012	9750
Washington	Balance of Pend Oreille County	2013	9794
Washington	Balance of Pend Oreille County	2014	9723
