City	State	Year	Est. Population
Eldridge town	Alabama	2013	129
Eldridge town	Alabama	2014	129
Eldridge town	Alabama	2015	128
Elkmont town	Alabama	2010	426
Elkmont town	Alabama	2011	428
Elkmont town	Alabama	2012	438
Elkmont town	Alabama	2013	447
Elkmont town	Alabama	2014	454
Elkmont town	Alabama	2015	462
Elmore town	Alabama	2010	1276
Elmore town	Alabama	2011	1278
Elmore town	Alabama	2012	1281
Elmore town	Alabama	2013	1283
Elmore town	Alabama	2014	1284
Elmore town	Alabama	2015	1275
Emelle town	Alabama	2010	53
Emelle town	Alabama	2011	53
Emelle town	Alabama	2012	52
Emelle town	Alabama	2013	51
Emelle town	Alabama	2014	51
Emelle town	Alabama	2015	51
Epes town	Alabama	2010	193
Epes town	Alabama	2011	192
Epes town	Alabama	2012	188
Epes town	Alabama	2013	187
Epes town	Alabama	2014	186
Epes town	Alabama	2015	184
Ethelsville town	Alabama	2010	76
Ethelsville town	Alabama	2011	76
Ethelsville town	Alabama	2012	75
Ethelsville town	Alabama	2013	75
Ethelsville town	Alabama	2014	74
Ethelsville town	Alabama	2015	73
Eutaw town	Alabama	2010	2934
Eutaw town	Alabama	2011	2919
Eutaw town	Alabama	2012	2893
Eutaw town	Alabama	2013	2870
Eutaw town	Alabama	2014	2833
Eutaw town	Alabama	2015	2788
Eva town	Alabama	2010	515
Eva town	Alabama	2011	515
Eva town	Alabama	2012	516
Eva town	Alabama	2013	516
Eva town	Alabama	2014	513
Eva town	Alabama	2015	513
Excel town	Alabama	2010	723
Excel town	Alabama	2011	720
Excel town	Alabama	2012	713
Excel town	Alabama	2013	705
Excel town	Alabama	2014	690
Excel town	Alabama	2015	680
Fairview town	Alabama	2010	448
Fairview town	Alabama	2011	448
Fairview town	Alabama	2012	448
Fairview town	Alabama	2013	448
Fairview town	Alabama	2014	450
Fairview town	Alabama	2015	452
Falkville town	Alabama	2010	1279
Falkville town	Alabama	2011	1280
Falkville town	Alabama	2012	1281
Falkville town	Alabama	2013	1279
Falkville town	Alabama	2014	1274
Falkville town	Alabama	2015	1270
Faunsdale town	Alabama	2010	98
Faunsdale town	Alabama	2011	98
Faunsdale town	Alabama	2012	96
Faunsdale town	Alabama	2013	95
Faunsdale town	Alabama	2014	94
Faunsdale town	Alabama	2015	94
Five Points town	Alabama	2010	141
